Taraka Rama
Alina Beygelzimer
Satyen Kale
Haipeng Luo
Jean Honorio
Iasonas Kokkinos
Remi Lebret
Yu Zhang
Qiang Yang
Andrew J. R. Simpson
Ye Yuan
Jiashi Feng
Jianchao Yang
Jiaying Liu
Shuicheng Yan
Mu Li
Maria Florina Balcan
Alex Smola
Diego R. Amancio
K. Thangavel
Masoumeh Vali
Francois Fleuret
Pascal Fua
Andre Kempe
Fatih Porikli
Vianney Perchet
Nassir Navab
Madeleine Udell
Stephen Boyd
Daniel Golovin
Andreas Krause
Fabrizio Riguzzi
Kyunghyun Cho
Liang Zhao
Yanzhi Wang
Zhe Li
Jian Tang
Juergen Gall
Ambuj Tewari
Bernd Sturmfels
Tomas Pajdla
Jayaraman J. Thiagarajan
Karthikeyan Natesan Ramamurthy
Andreas Spanias
Junya Honda
Masashi Sugiyama
Yuan Gao
Alan Yuille
Aviv Tamar
Yinlam Chow
Mohammad Ghavamzadeh
Shie Mannor
Shu Kong
Charless Fowlkes
Ozan Sener
Silvio Savarese
Ashutosh Saxena
Julian McAuley
Pei Wang
Marcus Hutter
J. Hoffmann
Thomas Hofmann
Fabrice Rossi
Paul Vitanyi
Sunil Kumar Sahu
Ashish Anand
Peter D. Turney
Yunchao Wei
Wei Liu
Peter I. Frazier
Xiaoran Yan
Cristopher Moore
Qixing Huang
Yuxin Chen
Leonidas Guibas
Vincent Lepetit
Dean Foster
Marie Cottrell
Patrick Letremy
Walter Quattrociocchi
Miroslaw Truszczynski
Mu Zhu
Paul D. McNicholas
Andrea L. Bertozzi
Zheng-Chu Guo
Li Zhang
Subhashini Venugopalan
Jeff Donahue
Marcus Rohrbach
Kate Saenko
Guanghui Lan
Philipp Hennig
Roman Garnett
Maedeh Aghaei
Mariella Dimiccoli
Cristian Canton Ferrer
Petia Radeva
Mathias Niepert
David Balduzzi
Cristian R. Rojas
Tomer Koren
Moshe Tennenholtz
Tue Herlau
Mikkel N. Schmidt
Morten Morup
Wangmeng Zuo
Henry E. Kyburg Jr
Slava J. Mikhaylov
Moritz Hardt
Ankur Moitra
Phillip Lord
Wonyong Sung
Odemir Martinez Bruno
Joseph Y. Halpern
Yangyang Xu
Ming Yan
Wotao Yin
Chunhua Shen
Lei Wang
Anton van den Hengel
Kurt Keutzer
Caiming Xiong
Richard Socher
Christophe Nicolle
Christophe Cruz
Steven Schockaert
Yani Ioannou
Roberto Cipolla
Antonio Criminisi
Clayton Scott
Ernest Fokoue
Kuk-Jin Yoon
Animashree Anandkumar
Qianqian Xu
Jiechao Xiong
Xiaochun Cao
Yuan Yao
Adrian Paschke
Yong Xu
Mark D. Plumbley
Zhangyang Wang
Ding Liu
Shiyu Chang
Yingzhen Yang
Thomas S. Huang
Laura Leal-Taixe
Daniel Cremers
Jake Ryland Williams
Anders Sogaard
Michael Mathieu
Camille Couprie
Yann LeCun
Liming Chen
Gilles Blanchard
Urun Dogan
Balaraman Ravindran
Li Li
Vivek Kulkarni
Bryan Perozzi
Steven Skiena
Ralf Steinberger
Bruno Pouliquen
Navdeep Jaitly
Jaesik Choi
Eyal Amir
Fabio Ramos
Sridhar Mahadevan
Jiasong Wu
Yang Chen
Lotfi Senhadji
Huazhong Shu
Alberto Del Bimbo
Leon Derczynski
Robert Gaizauskas
Qing Zhao
Stefanie Wuhrer
Jose Bento
P. S. Sastry
Guy Van den Broeck
Dan Suciu
Luciano da F. Costa
Swakkhar Shatabda
Xiaohui Xie
Corinna Cortes
Mehryar Mohri
Afshin Rostamizadeh
Peter Grunwald
Vasant Honavar
C. -C. Jay Kuo
Jiwon Kim
Kyoung Mu Lee
Hazim Kemal Ekenel
M. Emre Celebi
Hassan A. Kingravi
Vladimir Pestov
Nicolas Courty
Remi Flamary
Diego Calvanese
Thomas Eiter
Xingye Qiao
Kevin Gimpel
Ping Zhu
Changyou Chen
Nan Ding
Wray Buntine
James M. Whitacre
Shlomo Zilberstein
Eduardo Valle
